Column Name,Data Type,Unique Values,Top Value Counts (max 10),Significance
STATE,object,39,"{'CA': 9, 'FL': 9, 'TX': 8, 'OH': 6, 'ON': 5, 'PA': 5, 'MI': 5, 'MN': 4, 'IL': 4, 'BC': 3}",Significance of 'STATE' for stakeholders.
DEALER_REGION,int64,2,"{1: 97, 4: 3}",Significance of 'DEALER_REGION' for stakeholders.
REPAIR_DLR_POSTAL_CD,object,92,"{907551909: 3, 117061211: 2, nan: 2, 604403522: 2, 557444215: 2, 770653605: 2, 990197623: 1, 439508512: 1, 440572570: 1, 622263101: 1}",Significance of 'REPAIR_DLR_POSTAL_CD' for stakeholders.
REPAIR_AGE,int64,35,"{5: 6, 2: 6, 10: 6, 4: 6, 21: 6, 3: 6, 9: 5, 17: 5, 23: 4, 12: 4}",Significance of 'REPAIR_AGE' for stakeholders.
KM,int64,100,"{8872: 1, 16346: 1, 8887: 1, 15500: 1, 8: 1, 14: 1, 856: 1, 4065: 1, 31611: 1, 8304: 1}",Significance of 'KM' for stakeholders.
COMPLAINT_CD_CSI,int64,1,{0: 100},Significance of 'COMPLAINT_CD_CSI' for stakeholders.
COMPLAINT_CD,object,7,"{'0-0890': 40, '0-0310': 33, '0-0312': 12, '0-0621': 7, '0-0313': 4, '0-0316': 2, '0-0315': 2}",Significance of 'COMPLAINT_CD' for stakeholders.
VEH_TEST_GRP,object,23,"{'T05.3386': 19, 'T06.2375': 17, 'T03.6151': 13, 'D06.6385': 8, 'V00.0002': 7, 'T03.0353': 5, 'T03.0354': 4, 'T00.0006': 3, 'T02.0500': 3, 'T05.3330': 3}",Significance of 'VEH_TEST_GRP' for stakeholders.
COUNTRY_SALE_ISO,object,6,"{'US': 84, 'CA': 12, 'IL': 1, 'KW': 1, 'MX': 1, 'AU': 1}",Significance of 'COUNTRY_SALE_ISO' for stakeholders.
ORD_SELLING_SRC_CD,int64,7,"{13: 39, 48: 28, 12: 14, 14: 12, 72: 3, 11: 3, 23: 1}",Significance of 'ORD_SELLING_SRC_CD' for stakeholders.
OPTN_FAMLY_CERTIFICATION,object,3,"{'FE9': 62, 'NE1': 19, nan: 10, 'YF5': 9}",Significance of 'OPTN_FAMLY_CERTIFICATION' for stakeholders.
OPTF_FAMLY_EMISSIOF_SYSTEM,object,8,"{'FTB': 62, 'FUC': 16, 'FF6': 5, nan: 5, 'FT7': 4, 'FUG': 3, 'FUB': 2, 'FUM': 2, 'FUF': 1}",Significance of 'OPTF_FAMLY_EMISSIOF_SYSTEM' for stakeholders.
GLOBAL_LABOR_CODE,int64,4,"{130: 78, 50: 11, 2400: 6, 20: 5}",Significance of 'GLOBAL_LABOR_CODE' for stakeholders.
TRANSACTION_CATEGORY,object,2,"{'FREG': 89, 'FREG_POL': 11}",Significance of 'TRANSACTION_CATEGORY' for stakeholders.
CAMPAIGN_NBR,float64,0,{nan: 100},Significance of 'CAMPAIGN_NBR' for stakeholders.
REPORTING_COST,float64,100,"{370.03: 1, 307.32: 1, 2457.45: 1, 445.28: 1, 1439.65: 1, 216.75: 1, 1488.94: 1, 427.08: 1, 27.69: 1, 1147.09: 1}",Significance of 'REPORTING_COST' for stakeholders.
TOTALCOST,float64,100,"{370.03: 1, 307.32: 1, 3205.45: 1, 445.28: 1, 1439.65: 1, 216.75: 1, 1488.94: 1, 427.08: 1, 27.69: 1, 1147.09: 1}",Significance of 'TOTALCOST' for stakeholders.
LBRCOST,float64,99,"{86.57: 2, 291.14: 1, 61.46: 1, 63.18: 1, 136.0: 1, 139.84: 1, 150.03: 1, 57.61: 1, 27.69: 1, 146.06: 1}",Significance of 'LBRCOST' for stakeholders.
ENGINE,object,12,"{'L84': 24, 'L87': 17, 'EN0': 12, 'LGX': 11, 'L5P': 9, 'LM2': 7, 'LFY': 5, 'LSY': 5, 'LZ0': 4, 'L8T': 4}",Significance of 'ENGINE' for stakeholders.
ENGINE_DESC,object,12,"{'GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5': 24, 'GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5': 17, 'NONE': 12, 'GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2': 11, 'DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1': 9, 'DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V': 7, 'GAS, 6 CYL, V6, 3.6L, SIDI, DOHC, ATSS, GEN 1+': 5, 'GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3': 5, 'DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2': 4, 'GAS, 8 CYL, 6.6L, SIDI, VVT, CAST IRON': 4}",Significance of 'ENGINE_DESC' for stakeholders.
TRANSMISSION,object,19,"{'MHS': 28, 'M3W': 12, 'MQC': 11, 'MGM': 9, 'MQB': 7, 'MMF': 7, 'MF1': 5, 'MQE': 4, 'M3V': 4, 'MKM': 3}",Significance of 'TRANSMISSION' for stakeholders.
TRANSMISSION_DESC,object,20,"{'BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1': 28, 'TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1': 12, 'BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2': 10, 'BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1': 9, 'BYT, ELECTRIC, GM, GEM, GEN 2, DRIVE UNIT, X68F': 7, 'BYT 10 SPD, 10L80, ATSS, CPA, GEN 2': 7, 'NONE': 5, 'BYT 9 SPD, 9T65, GEN 1': 4, 'BYT 8 SPD, 8L90, ATSS, CPA, GEN 1': 4, 'BYT 10 SPD, RWD 4.54 1ST, 2.86 2ND, 2.06 3RD, 1.7 1 4TH, 1.48 5TH, 1.26 6TH, 1.00 7TH, 10L': 3}",Significance of 'TRANSMISSION_DESC' for stakeholders.
ENGINE_SOURCE_PLANT,object,9,"{830107152: 15, 249196973: 14, 2127157: 12, nan: 12, 70628511: 11, 37749264: 11, 812040194: 10, 79253428: 9, 'K': 5, 5: 1}",Significance of 'ENGINE_SOURCE_PLANT' for stakeholders.
ENGINE_TRACE_NBR,object,88,"{nan: 12, 'V2210281MFTX0488': 1, 'V2210291MFTX0188': 1, 'N2210821MFYX0482': 1, 'N2212994MGPX0790': 1, 'A2212084MGSX0089': 1, 'N2212914MGPX0299': 1, 'A2212881MF1X2422': 1, 'T1220882JW9X2294': 1, 'N2212294MGPX0128': 1}",Significance of 'ENGINE_TRACE_NBR' for stakeholders.
TRANSMISSION_SOURCE_PLANT,float64,6,"{287827.0: 31, 8042172.0: 20, 17749294.0: 19, 822972980.0: 16, nan: 12, 249299971.0: 1, 828298448.0: 1}",Significance of 'TRANSMISSION_SOURCE_PLANT' for stakeholders.
TRANSMISSION_TRACE_NBR,object,88,"{nan: 12, 'S2210121CNJX0941': 1, 'R2210881CNJX0287': 1, 'S1210822CKJX0291': 1, 'R2212982CKJX0282': 1, 'S2212992CKJX2842': 1, 'R2212922CKJX0928': 1, 'S1212982CKJX2188': 1, 'R2220422XKJX0272': 1, 'R2212112CKJX2084': 1}",Significance of 'TRANSMISSION_TRACE_NBR' for stakeholders.
SRC_TXN_ID,int64,100,"{2808908219: 1, 2808841910: 1, 2809979441: 1, 2808892288: 1, 2808901882: 1, 2809498122: 1, 2809208122: 1, 2808882287: 1, 2808998129: 1, 2821988724: 1}",Significance of 'SRC_TXN_ID' for stakeholders.
SRC_VER_NBR,int64,10,"{4: 43, 6: 26, 2: 13, 8: 8, 10: 4, 14: 2, 20: 1, 24: 1, 26: 1, 16: 1}",Significance of 'SRC_VER_NBR' for stakeholders.
TRANSACTION_CNTR,int64,1,{1: 100},Significance of 'TRANSACTION_CNTR' for stakeholders.
MEDIA_FLAG,object,2,"{'N': 62, 'Y': 38}",Significance of 'MEDIA_FLAG' for stakeholders.
VIN_MODL_DESGTR,object,41,"{'CF10543': 15, 'TF10543': 13, 'TF20743': 6, '6MB26': 5, '1FG48': 4, 'TF10906': 4, 'CF18543': 4, '6NJ26': 4, 'CF20743': 4, 'CF10706': 3}",Significance of 'VIN_MODL_DESGTR' for stakeholders.
LINE_SERIES,object,22,"{1500: 52, 2500: 11, 'Premier': 5, 'Sport': 5, 'Premium Luxury': 3, 'Lux-1': 3, 3500: 2, '1LT': 2, '2LT': 2, 'Denali': 2}",Significance of 'LINE_SERIES' for stakeholders.
LAST_KNOWN_DELVRY_TYPE_CD,float64,11,"{10.0: 59, 18.0: 11, 16.0: 8, 15.0: 6, 21.0: 4, 37.0: 3, 23.0: 3, nan: 2, 34.0: 1, 32.0: 1}",Significance of 'LAST_KNOWN_DELVRY_TYPE_CD' for stakeholders.
NON_CAUSAL_PART_QTY,int64,2,"{0: 93, 1: 7}",Significance of 'NON_CAUSAL_PART_QTY' for stakeholders.
SALES_REGION_CODE,int64,2,"{1: 97, 4: 3}",Significance of 'SALES_REGION_CODE' for stakeholders.
